date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_curr_ip,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_curr_ip,away_pitcher_prev_ip,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_pitcher_adv,away_pitcher_adv,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,fir_result
20170402,TB,NYY,-1,4.02,-1,201.1,-1,3.07,-1,199.2,-1,-1,-1,-1,1,1,-1,0.42,-1,0.537037037,-1,0.519,-1,0.425925926,1
20170402,ARI,SF,-1,4.37,-1,158.2,-1,2.74,-1,226.1,-1,-1,-1,-1,1,1,-1,0.426,-1,0.654320988,-1,0.537,-1,0.401234568,0
20170402,STL,CHC,-1,3.01,-1,197.1,-1,2.44,-1,202.2,-1,-1,-1,-1,1,1,-1,0.531,-1,0.425925926,-1,0.636,-1,0.672839506,0
20170403,WAS,MIA,-1,3.6,-1,147.1,-1,5.38,-1,189,-1,-1,-1,-1,1,1,-1,0.586,-1,0.740740741,-1,0.491,-1,0.577639752,0
20170403,NYM,ATL,-1,2.6,-1,183.1,-1,3.21,-1,188,-1,-1,-1,-1,1,1,-1,0.537,-1,0.450617284,-1,0.422,-1,0.403726708,0
20170403,BOS,PIT,-1,3.15,-1,223,-1,3.88,-1,116,-1,-1,-1,-1,1,1,-1,0.574,-1,0.709876543,-1,0.481,-1,0.641975309,0
20170403,MIL,COL,-1,2.81,-1,121.2,-1,4.61,-1,168,-1,-1,-1,-1,1,1,-1,0.451,-1,0.543209877,-1,0.463,-1,0.635802469,0
20170403,BAL,TOR,-1,3.61,-1,179.2,-1,3.48,-1,176,-1,-1,-1,-1,1,1,-1,0.549,-1,0.530864198,-1,0.549,-1,0.654320988,0
20170403,CIN,PHI,-1,8.4,-1,15,-1,3.71,-1,189,-1,-1,-1,-1,1,1,-1,0.42,-1,0.679012346,-1,0.438,-1,0.425925926,1
20170403,MIN,KC,-1,3.26,-1,188,-1,3.51,-1,179.2,-1,-1,-1,-1,1,1,-1,0.364,-1,0.481481481,-1,0.5,-1,0.512345679,0
